ASXCode,CompanyName,ListingDate,GICsIndustryGroup
CL8,Carly Holdings Limited,9/09/1996,Retailing
CLA,Celsius Resources Limited.,24/03/1988,Materials
CLB,Candy Club Holdings Limited,19/02/2019,Food & Staples Retailing
CLE,Cyclone Metals Limited,7/06/2001,Materials
CLG,Close The Loop Ltd.,2/12/2021,Commercial & Professional Services
CLH,Collection House Limited,4/10/2000,Diversified Financials
CLT,Cellnet Group Limited,17/11/1999,Technology Hardware & Equipment
CLU,Cluey Ltd,9/12/2020,Consumer Services
CLV,Clover Corporation Limited,30/11/1999,Materials
CLW,Charter Hall Long Wale Reit,8/11/2016,Real Estate
CLX,Cti Logistics Limited,2/12/1987,Transportation
CLZ,Classic Minerals Ltd,24/05/2013,Materials
CM8,Crowd Media Holdings Limited,16/12/1999,Media & Entertainment
CMD,Cassius Mining Limited,10/08/2006,Materials
CMG,Critical Minerals Group Limited,27/09/2022,Materials
CML,Chase Mining Corporation Limited,15/11/2007,Materials
CMM,Capricorn Metals Ltd,7/07/2008,Materials
CMO,Cosmo Metals Limited,31/01/2022,Materials
CMP,Compumedics Limited,21/12/2000,Health Care Equipment & Services
CMW,Cromwell Property Group,22/02/1973,Real Estate
CMX,Chemx Materials Limited,18/01/2022,Materials
CNB,Carnaby Resources Limited,30/08/2016,Materials
CNI,Centuria Capital Group,26/03/2002,Real Estate
CNJ,Conico Ltd,18/06/2007,Materials
CNQ,Clean Teq Water Limited,2/07/2021,Commercial & Professional Services
CNR,Cannon Resources Limited,12/08/2021,Materials
CNU,Chorus Limited,21/11/2011,Telecommunication Services
CNW,Cirrus Networks Holdings Limited,10/02/2004,Software & Services
COB,Cobalt Blue Holdings Limited,2/02/2017,Materials
COD,Coda Minerals Ltd,28/10/2020,Materials
COE,Cooper Energy Limited,13/03/2002,Energy
COF,Centuria Office Reit,10/12/2014,Real Estate
COG,Cog Financial Services Limited,28/01/2003,Diversified Financials
COH,Cochlear Limited,4/12/1995,Health Care Equipment & Services
COI,Comet Ridge Limited,16/04/2004,Energy
COL,Coles Group Limited.,21/11/2018,Food & Staples Retailing
COO,Corum Group Limited,28/07/1971,Software & Services
COS,Cosol Limited,24/01/2020,Software & Services
COY,Coppermoly Limited,31/01/2008,Materials
CPH,Creso Pharma Limited,20/10/2016,"Pharmaceuticals, Biotechnology & Life Sciences"
CPM,Cooper Metals Limited,19/11/2021,Materials
CPN,Caspin Resources Limited,25/11/2020,Materials
CPO,Culpeo Minerals Limited,10/09/2021,Materials
CPON,Culpeo Minerals Limited,10/09/2021,Materials
CPT,Cipherpoint Limited,3/01/2007,Software & Services
CPU,Computershare Limited.,27/05/1994,Software & Services
CPV,Clearvue Technologies Limited,25/05/2018,Capital Goods
CQE,Charter Hall Social Infrastructure Reit,22/05/2003,Real Estate
CQR,Charter Hall Retail Reit,15/11/1995,Real Estate
CR1,Constellation Resources Limited,30/07/2018,Materials
CR9,Corella Resources Ltd,15/01/2008,Materials
CRB,Carbine Resources Limited,16/03/2007,Materials
CRD,Conrad Asia Energy Ltd.,27/10/2022,Energy
CRLDB,Comet Resources Limited,2/03/1994,Materials
CRM,Carbon Minerals Limited,31/12/1980,Energy
CRN,Coronado Global Resources Inc.,23/10/2018,Materials
CRR,Critical Resources Limited,3/12/2010,Materials
CRS,Caprice Resources Ltd,5/12/2018,Materials
CSE,Copper Strike Limited,24/11/2004,Materials
CSF,Catalano Seafood Ltd,11/03/2022,"Food, Beverage & Tobacco"
CSL,Csl Limited,8/06/1994,"Pharmaceuticals, Biotechnology & Life Sciences"
CSR,Csr Limited,31/03/1962,Materials
CSS,Clean Seas Seafood Limited,12/12/2005,"Food, Beverage & Tobacco"
CST,Castile Resources Ltd,14/02/2020,Materials
CSX,Cleanspace Holdings Limited,23/10/2020,Health Care Equipment & Services
CT1,Constellation Technologies Limited,8/10/1987,Technology Hardware & Equipment
CTD,Corporate Travel Management Limited,15/12/2010,Consumer Services
CTE,Cryosite Limited,9/05/2002,"Pharmaceuticals, Biotechnology & Life Sciences"
CTM,Centaurus Metals Limited,12/01/1989,Materials
CTO,Citigold Corporation Limited,23/12/1993,Materials
CTP,Central Petroleum Limited,7/03/2006,Energy
CTQ,Careteq Limited,10/01/2022,Health Care Equipment & Services
CTT,Cettire Limited,18/12/2020,Retailing
CTV,Colortv Limited,27/03/1986,Media & Entertainment
CU6,Clarity Pharmaceuticals Ltd,25/08/2021,"Pharmaceuticals, Biotechnology & Life Sciences"
CUE,Cue Energy Resources Limited,11/12/1995,Energy
CUF,Cufe Ltd,13/10/2005,Materials
CUL,Cullen Resources Limited,23/11/1988,Materials
CUP,Countplus Limited,22/12/2010,Commercial & Professional Services
CUS,Copper Search Limited,15/09/2021,Materials
CUV,Clinuvel Pharmaceuticals Limited,13/02/2001,"Pharmaceuticals, Biotechnology & Life Sciences"
CVC,Cvc Limited,27/06/1985,Diversified Financials
CVL,Civmec Limited,22/06/2018,Capital Goods
CVN,Carnarvon Energy Limited,16/08/1984,Energy
CVR,Cavalier Resources Limited,17/06/2022,Materials
CVV,Caravel Minerals Limited,3/11/2006,Materials
CVW,Clearview Wealth Limited,11/12/2003,Diversified Financials
CWL,Consolidated Financial Holdings Limited,23/10/2007,Software & Services
CWP,Cedar Woods Properties Limited,31/08/1994,Real Estate
CWX,Carawine Resources Limited,14/12/2017,Materials
CWXN,Carawine Resources Limited,14/12/2017,Materials
CWY,Cleanaway Waste Management Limited,3/05/2005,Commercial & Professional Services
CXL,Calix Limited,20/07/2018,Materials
CXM,Centrex Limited,19/07/2006,Materials
CXO,Core Lithium Ltd,11/02/2011,Materials
CXU,Cauldron Energy Limited,28/01/2005,Energy
CXX,Cradle Resources Limited,16/09/2011,Materials
CXZ,Connexion Telematics Ltd,1/01/1974,Software & Services
CY5,Cygnus Gold Limited,15/01/2018,Materials
CYC,Cyclopharm Limited,18/01/2007,Health Care Equipment & Services
CYG,Coventry Group Limited,27/01/1966,Capital Goods
CYL,Catalyst Metals Limited,26/07/2006,Materials
CYM,Cyprium Metals Limited,26/04/1985,Materials
CYP,Cynata Therapeutics Limited,20/12/2007,"Pharmaceuticals, Biotechnology & Life Sciences"
CYQ,Cycliq Group Ltd,21/11/2007,Consumer Durables & Apparel
CZL,Consolidated Zinc Limited,19/06/2006,Materials
CZN,Corazon Mining Limited,30/06/2005,Materials
CZR,Czr Resources Ltd,29/08/2006,Materials
D2O,Duxton Water Limited,16/09/2016,Utilities
DAF,Discovery Alaska Limited,22/09/2011,Materials
DAL,Dalaroo Metals Ltd,28/09/2021,Materials
DBF,Duxton Farms Ltd,8/02/2018,"Food, Beverage & Tobacco"
DBI,Dalrymple Bay Infrastructure Limited,8/12/2020,Transportation
DBO,Diablo Resources Limited,12/10/2021,Materials
DC2,Dc Two Limited,10/11/2020,Software & Services
DCC,Digitalx Limited,6/02/1989,Software & Services
DCG,Decmil Group Limited,22/04/2005,Capital Goods
DCL,Domacom Limited,7/11/2016,Diversified Financials
DCN,Dacian Gold Limited,14/11/2012,Materials
DCX,Discovex Resources Limited,13/12/2007,Materials
DDB,Dynamic Group Holdings Limited,6/08/2020,Capital Goods
DDH,Ddh1 Limited,9/03/2021,Materials
DDR,Dicker Data Limited,24/01/2011,Technology Hardware & Equipment
DDT,Datadot Technology Limited,12/01/2005,Automobiles & Components
DEG,De Grey Mining Limited,3/07/2002,Materials
DEL,Delorean Corporation Limited,12/04/2021,Utilities
DEM,De.Mem Limited,7/04/2017,Utilities
DES,Desoto Resources Limited,,Class Pend
DEV,Devex Resources Limited,3/10/2000,Energy
DEX,Duke Exploration Limited,10/11/2020,Materials
DGH,Desane Group Holdings Limited,4/09/1987,Real Estate
DGL,Dgl Group Limited,24/05/2021,Materials
DGR,Dgr Global Limited,21/08/2003,Materials
DHG,Domain Holdings Australia Limited.,16/11/2017,Media & Entertainment
DJW,Djerriwarrh Investments Limited,28/06/1995,Not Applic
DKM,Duketon Mining Limited,4/08/2014,Materials
DLM,Dominion Minerals Limited,19/03/2004,"Pharmaceuticals, Biotechnology & Life Sciences"
DLT,Delta Drone International Limited,18/06/2018,Technology Hardware & Equipment
DM1,Desert Metals Limited,18/12/2020,Materials
DMC,Design Milk Co Limited,24/03/1997,Retailing
DME,Dome Gold Mines Limited,22/10/2013,Materials
DMG,Dragon Mountain Gold Limited,31/07/2007,Materials
DMM,Dmc Mining Limited.,22/12/2021,Materials
DMP,Domino'S Pizza Enterprises Limited,16/05/2005,Consumer Services
DNA,Donaco International Limited,23/12/2004,Consumer Services
DNK,Danakali Limited,17/10/2003,Materials
DOC,Doctor Care Anywhere Group Plc,4/12/2020,Health Care Equipment & Services
DOR,Doriemus Plc,29/09/2017,Energy
DOU,Douugh Limited,15/06/2004,Telecommunication Services
DOW,Downer Edi Limited,20/12/1990,Commercial & Professional Services
DRA,Dra Global Limited,9/07/2021,Capital Goods
DRE,Dreadnought Resources Ltd,31/10/2006,Materials
DRM,Demetallica Limited,26/05/2022,Materials
DRO,Droneshield Limited,22/06/2016,Capital Goods
DRR,Deterra Royalties Limited,23/10/2020,Materials
DRX,Diatreme Resources Limited,22/06/2005,Materials
DSE,Dropsuite Limited,12/12/1985,Software & Services
DSK,Dusk Group Limited,2/11/2020,Retailing
DTC,Damstra Holdings Limited,16/10/2019,Software & Services
DTI,Dti Group Ltd,9/12/2014,Technology Hardware & Equipment
DTL,Data#3 Limited,23/12/1997,Software & Services
DTM,Dart Mining Nl,10/05/2007,Materials
DTR,Dateline Resources Limited,23/06/2011,Materials
DTZ,Dotz Nano Limited,13/12/2007,Semiconductors & Semiconductor Equipment
DUB,Dubber Corporation Limited,30/06/2000,Software & Services
DUG,Dug Technology Ltd,12/08/2020,Software & Services
DUI,Diversified United Investment Limited,19/12/1991,Not Applic
DUN,Dundas Minerals Limited,10/11/2021,Materials
DUR,Duratec Limited,4/11/2020,Capital Goods
DVL,Dorsavi Ltd,11/12/2013,"Pharmaceuticals, Biotechnology & Life Sciences"
DVP,Develop Global Limited,27/04/2007,Materials
DVR,Diverger Limited,2/08/2005,Diversified Financials
DW8,Dw8 Limited,4/04/2001,Retailing
DXB,Dimerix Limited,4/02/1993,"Pharmaceuticals, Biotechnology & Life Sciences"
DXC,Dexus Convenience Retail Reit,27/07/2017,Real Estate
DXI,Dexus Industria Reit.,3/12/2013,Real Estate
DXN,Dxn Limited,11/04/2018,Software & Services
DXS,Dexus,6/10/2004,Real Estate
DYL,Deep Yellow Limited,19/12/1985,Energy
E25,Element 25 Limited,9/11/2006,Materials
E2M,E2 Metals Limited,19/04/2017,Materials
E33,East 33 Limited..,29/07/2021,"Food, Beverage & Tobacco"
E79,E79 Gold Mines Limited,7/10/2021,Materials
EAI,Ellerston Asian Investments Limited,15/09/2015,Not Applic
EAX,Energy Action Limited,13/10/2011,Commercial & Professional Services
EBG,Eumundi Group Limited,7/12/1989,Consumer Services
EBO,Ebos Group Limited,6/12/2013,Health Care Equipment & Services
EBR,Ebr Systems Inc.,24/11/2021,Health Care Equipment & Services
ECF,Elanor Commercial Property Fund,6/12/2019,Real Estate
ECG,Ecargo Holdings Limited,28/11/2014,Commercial & Professional Services
ECL,Excelsior Capital Ltd,22/04/1993,Capital Goods
ECP,Ecp Emerging Growth Limited,14/08/2014,Not Applic
ECS,Ecs Botanics Holdings Ltd,13/03/1986,"Pharmaceuticals, Biotechnology & Life Sciences"
ECT,Environmental Clean Technologies Limited.,5/02/1986,Commercial & Professional Services
ECX,Eclipx Group Limited,22/04/2015,Diversified Financials
EDC,Eildon Capital Group,28/02/2017,Diversified Financials
EDE,Eden Innovations Ltd,6/06/2006,Energy
EDU,Edu Holdings Limited,25/06/2004,Consumer Services
EDV,Endeavour Group Limited,24/06/2021,Food & Staples Retailing
EEG,Empire Energy Group Limited,30/08/1984,Energy
EEL,Enrg Elements Ltd,1/07/2011,Materials
EFE,Eastern Resources Limited,16/05/2008,Materials
EGG,Enero Group Limited,30/04/2004,Media & Entertainment
EGH,Eureka Group Holdings Limited,1/07/2004,Real Estate
EGL,Environmental Group Limited (The),12/02/1981,Capital Goods
EGN,Engenco Limited,14/12/2006,Capital Goods
EGR,Ecograf Limited,29/10/2010,Materials
EGY,Energy Technologies Limited,22/10/1992,Capital Goods
EHE,Estia Health Limited,5/12/2014,Health Care Equipment & Services
EHL,Emeco Holdings Limited,28/07/2006,Capital Goods
EIQ,Echoiq Limited,17/12/2010,Software & Services
EL8,Elevate Uranium Ltd,23/10/1985,Energy
ELD,Elders Limited,30/06/1981,"Food, Beverage & Tobacco"
ELE,Elmore Ltd,25/02/1998,Materials
ELO,Elmo Software Limited,29/06/2017,Software & Services
ELS,Elsight Limited,8/06/2017,Technology Hardware & Equipment
ELT,Elementos Limited,23/12/2009,Materials
EM1,Emerge Gaming Limited,9/06/1971,Media & Entertainment
EM2,Eagle Mountain Mining Limited,16/03/2018,Materials
EMB,Embelton Limited,1/01/1974,Capital Goods
EMD,Emyria Limited,12/02/2020,Health Care Equipment & Services
EME,Energy Metals Ltd,9/09/2005,Energy
EMH,European Metals Holdings Limited,19/07/2012,Materials
EML,Eml Payments Limited,18/01/2006,Software & Services
EMN,Euro Manganese Inc,2/10/2018,Materials
EMP,Emperor Energy Limited,5/06/1987,Energy
EMR,Emerald Resources Nl,22/07/1994,Materials
EMS,Eastern Metals Limited,25/10/2021,Materials
EMT,Emetals Limited,26/10/2010,Not Applic
EMU,Emu Nl,27/02/2008,Materials
EMUCA,Emu Nl,27/02/2008,Materials
EMV,Emvision Medical Devices Ltd,13/12/2018,Health Care Equipment & Services
ENA,Ensurance Ltd,23/09/2011,Insurance
ENN,Elanor Investors Group,11/07/2014,Consumer Services
ENR,Encounter Resources Limited,24/03/2006,Materials
ENT,Enterprise Metals Limited,20/06/2007,Materials
ENV,Enova Mining Limited,13/04/2007,Materials
ENX,Enegex Limited,8/10/2013,Materials
EOF,Ecofibre Limited,29/03/2019,"Pharmaceuticals, Biotechnology & Life Sciences"
EOL,Energy One Limited,15/01/2007,Software & Services
EOS,Electro Optic Systems Holdings Limited,23/10/2000,Capital Goods
EP1,E&P Financial Group Limited,14/05/2018,Diversified Financials
EPM,Eclipse Metals Limited.,17/02/2011,Energy
EPN,Epsilon Healthcare Limited,4/05/2017,"Pharmaceuticals, Biotechnology & Life Sciences"
EPX,Ep&T Global Limited,12/05/2021,Software & Services
EPY,Earlypay Ltd,23/02/2010,Diversified Financials
EQE,Equus Mining Limited,12/12/1995,Materials
EQN,Equinox Resources Limited.,13/10/2021,Materials
EQR,Eq Resources Limited,6/06/2006,Materials
EQS,Equity Story Group Ltd,3/05/2022,Diversified Financials
EQT,Eqt Holdings Limited,6/08/1985,Diversified Financials
EQX,Equatorial Resources Limited,14/05/1987,Materials
ERA,Energy Resources Of Australia Limited,19/11/1980,Energy
ERD,Eroad Limited,18/09/2020,Technology Hardware & Equipment
ERG,Eneco Refresh Ltd,29/03/2006,"Food, Beverage & Tobacco"
ERL,Empire Resources Limited,1/02/2007,Materials
ERM,Emmerson Resources Limited,17/12/2007,Materials
ERW,Errawarra Resources Ltd,14/12/2020,Materials
ESK,Etherstack Plc,7/09/2012,Software & Services
ESR,Estrella Resources Limited,9/05/2012,Materials
ESS,Essential Metals Limited,4/12/2003,Materials
ETM,Energy Transition Minerals Ltd,20/06/2006,Materials
EUR,European Lithium Limited,2/12/2010,Materials
EV1,Evolution Energy Minerals Limited,16/11/2021,Materials
EVE,Eve Health Group Limited.,8/04/2004,Diversified Financials
EVN,Evolution Mining Limited,20/08/2002,Materials
EVO,Embark Education Limited,5/12/2014,Consumer Services
EVR,Ev Resources Ltd,7/12/1994,Materials
EVS,Envirosuite Limited,11/02/2008,Software & Services
EVT,Evt Limited,30/06/1962,Media & Entertainment
EVZ,Evz Limited,26/04/1985,Capital Goods
EWC,Energy World Corporation Ltd,8/12/1988,Utilities
EX1,Exopharm Limited,18/12/2018,"Pharmaceuticals, Biotechnology & Life Sciences"
EXL,Elixinol Wellness Limited,8/01/2018,Household & Personal Products
EXP,Experience Co Limited,27/03/2015,Consumer Services
EXR,Elixir Energy Limited,19/07/2004,Energy
EYE,Nova Eye Medical Limited,12/10/1987,Health Care Equipment & Services
EZL,Euroz Hartleys Group Limited,2/08/1971,Diversified Financials
EZZ,Ezz Life Science Holdings Limited,3/03/2021,Retailing
FAL,Falcon Metals Ltd,22/12/2021,Materials
FAR,Far Limited,23/01/1986,Energy
FAU,First Au Limited,1/01/1970,Materials
FBR,Fbr Ltd,8/02/2001,Capital Goods
FBU,Fletcher Building Limited,26/03/2001,Materials
FCL,Fineos Corporation Holdings Plc,16/08/2019,Software & Services
FCT,Firstwave Cloud Technology Limited,11/05/2011,Software & Services
FDR,Finder Energy Holdings Limited,8/04/2022,Energy
FDV,Frontier Digital Ventures Limited,26/08/2016,Media & Entertainment
FEG,Far East Gold Ltd,28/03/2022,Materials
FEX,Fenix Resources Ltd,4/08/2008,Materials
FFF,Forbidden Foods Limited,31/08/2020,"Food, Beverage & Tobacco"
FFG,Fatfish Group Limited,23/11/1995,Diversified Financials
FFI,Ffi Holdings Limited,15/01/1987,"Food, Beverage & Tobacco"
FFT,Future First Technologies Ltd,2/12/2013,Commercial & Professional Services
FFX,Firefinch Limited,6/12/2006,Materials
FG1,Flynn Gold Limited,17/06/2021,Materials
FGG,Future Generation Global Investment Company Limited,10/09/2015,Not Applic
FGL,Frugl Group Limited,10/08/2004,Software & Services
FGR,First Graphene Limited,8/08/1994,Materials
FGX,Future Generation Investment Company Limited,6/03/1997,Not Applic
FHE,Frontier Energy Limited,18/12/2009,Materials
FHS,Freehill Mining Limited.,16/01/2017,Materials
FID,Fiducian Group Limited,9/02/2015,Diversified Financials
FIJ,Fiji Kava Limited,20/12/2018,Household & Personal Products
FIN,Fin Resources Limited,2/11/1989,Materials
FLC,Fluence Corporation Limited,18/12/2007,Capital Goods
FLN,Freelancer Limited,15/11/2013,Commercial & Professional Services
FLT,Flight Centre Travel Group Limited,1/12/1995,Consumer Services
FLX,Felix Group Holdings Ltd,12/01/2021,Software & Services
FME,Future Metals Nl,16/08/2007,Energy
FMG,Fortescue Metals Group Ltd,19/03/1987,Materials
FML,Focus Minerals Ltd,13/09/2000,Materials
FMS,Flinders Mines Limited,20/02/2002,Materials
FND,Findi Limited,8/08/2001,Software & Services
FNX,Finexia Financial Group Limited,21/12/2006,Diversified Financials
FOD,The Food Revolution Group Limited,29/06/2012,"Food, Beverage & Tobacco"
FOR,Forager Australian Shares Fund,16/12/2016,Not Applic
FOS,Fos Capital Ltd,7/06/2021,Capital Goods
FPC,Fat Prophets Global Contrarian Fund Ltd,22/03/2017,Not Applic
FPH,Fisher & Paykel Healthcare Corporation Limited,21/11/2001,Health Care Equipment & Services
FPP,Fat Prophets Global Property Fund,10/10/2017,Not Applic
FRB,Firebird Metals Limited,18/03/2021,Materials
FRE,Firebrick Pharma Limited,28/01/2022,"Pharmaceuticals, Biotechnology & Life Sciences"
FRI,Finbar Group Limited,5/08/1994,Real Estate
FRM,Farm Pride Foods Limited,19/12/1997,"Food, Beverage & Tobacco"
FRS,Forrestania Resources Limited,30/09/2021,Materials
FRX,Flexiroam Limited,16/06/2015,Telecommunication Services
FSA,Fsa Group Limited,11/01/2001,Diversified Financials
FSF,Fonterra Shareholders' Fund,30/11/2012,"Food, Beverage & Tobacco"
FSG,Field Solutions Holdings Limited,26/04/2005,Telecommunication Services
FSI,Flagship Investments Limited,20/12/2000,Not Applic
FTC,Fintech Chain Limited,27/11/2012,Software & Services
FTL,Firetail Resources Limited,13/04/2022,Materials
FTZ,Fertoz Limited,2/09/2013,Materials
FWD,Fleetwood Limited,15/04/1987,Consumer Durables & Apparel
FXG,Felix Gold Limited,31/01/2022,Materials
FYI,Fyi Resources Limited,20/01/1994,Materials
FZO,Family Zone Cyber Safety Limited,29/08/2016,Software & Services
FZR,Fitzroy River Corporation Ltd,4/03/1998,Energy
G1A,Galena Mining Limited,7/09/2017,Materials
G50,Gold 50 Limited,6/08/2021,Materials
G6M,Group 6 Metals Limited,21/09/1967,Materials
G88,Golden Mile Resources Ltd,19/06/2017,Materials
GAL,Galileo Mining Ltd,29/05/2018,Materials
GAP,Gale Pacific Limited,14/12/2000,Consumer Durables & Apparel
GAS,State Gas Limited,10/10/2017,Energy
GBE,Globe Metals & Mining Limited,9/12/2005,Materials
GBR,Great Boulder Resources Limited,18/11/2016,Materials
GBZ,Gbm Resources Limited,24/10/2007,Materials
GC1,Glennon Small Companies Limited,21/08/2015,Not Applic
GCI,Gryphon Capital Income Trust,25/05/2018,Not Applic
GCR,Golden Cross Resources Ltd,27/03/1996,Materials
GCX,Gcx Metals Limited,20/12/2012,Energy
GCY,Gascoyne Resources Limited,11/12/2009,Materials
GDA,Good Drinks Australia Ltd,13/12/2006,"Food, Beverage & Tobacco"
GDC,Global Data Centre Group,31/10/2019,Not Applic
GDF,Garda Property Group,2/07/2015,Real Estate
GDG,Generation Development Group Limited,11/12/2007,Insurance
GDI,Gdi Property Group,17/12/2013,Real Estate
GED,Golden Deeps Limited.,4/12/1986,Materials
GEM,G8 Education Limited,5/12/2007,Consumer Services
GEN,Genmin Limited,10/03/2021,Materials
GES,Genesis Resources Limited,27/10/2009,Materials
GFL,Global Masters Fund Limited,16/05/2006,Not Applic
GFN,Gefen International A.I. Ltd,21/07/2021,Retailing
GGE,Grand Gulf Energy Limited,20/03/1998,Energy
GGX,Gas2Grid Limited,13/05/2005,Energy
GIB,Gibb River Diamonds Limited,1/07/2008,Materials
GL1,Global Lithium Resources Limited,6/05/2021,Materials
GLA,Gladiator Resources Limited,27/06/2006,Materials
GLB,Globe International Limited,24/05/2001,Consumer Durables & Apparel
GLE,Glg Corp Ltd,14/12/2005,Consumer Durables & Apparel
GLH,Global Health Limited,4/04/2000,Health Care Equipment & Services
GLL,Galilee Energy Limited,15/02/1996,Energy
GLN,Galan Lithium Limited,8/06/2011,Materials
GLV,Global Oil & Gas Limited,25/05/2005,Energy
GMA,Genworth Mortgage Insurance Australia Limited,20/05/2014,Banks
GMD,Genesis Minerals Limited,2/08/2007,Materials
GME,Gme Resources Limited,21/08/1980,Materials
GMG,Goodman Group,2/02/2005,Real Estate
GML,Gateway Mining Limited,2/08/1971,Materials
GMN,Gold Mountain Limited,2/09/2011,Materials
GMR,Golden Rim Resources Ltd,13/08/1987,Materials
GNC,Graincorp Limited,30/03/1998,Food & Staples Retailing
GNE,Genesis Energy Limited,17/04/2014,Utilities
GNG,Gr Engineering Services Limited,19/04/2011,Materials
GNM,Great Northern Minerals Limited,5/03/2008,Materials
GNP,Genusplus Group Ltd,14/12/2020,Capital Goods
GNX,Genex Power Limited,8/07/2015,Utilities
GO2,The Go2 People Ltd,31/10/2017,Commercial & Professional Services
GOR,Gold Road Resources Limited,4/07/2006,Materials
GOW,Gowing Bros Limited,31/07/1962,Diversified Financials
GOZ,Growthpoint Properties Australia,4/07/2007,Real Estate
GPR,Geopacific Resources Ltd,9/05/2006,Materials
GPS,Gps Alliance Holdings Limited,2/07/2013,Real Estate
GPT,Gpt Group,1/04/1971,Real Estate
GQG,Gqg Partners Inc.,26/10/2021,Diversified Financials
GRE,Greentech Metals Limited,4/01/2022,Materials
GRL,Godolphin Resources Limited,18/12/2019,Materials
GRR,Grange Resources Limited.,27/03/1986,Materials
GRV,Greenvale Mining Ltd,28/07/1971,Energy
GRX,Greenx Metals Limited,6/09/1993,Materials
GSM,Golden State Mining Limited,8/11/2018,Materials
GSN,Great Southern Mining Limited,14/04/2011,Materials
GSR,Greenstone Resources Limited,12/12/2000,Materials
GSS,Genetic Signatures Limited,31/03/2015,"Pharmaceuticals, Biotechnology & Life Sciences"
GT1,Green Technology Metals Limited,10/11/2021,Materials
GTE,Great Western Exploration Limited.,5/06/2007,Materials
GTG,Genetic Technologies Limited,30/07/1987,"Pharmaceuticals, Biotechnology & Life Sciences"
GTI,Gratifii Limited,17/07/2008,Software & Services
GTK,Gentrack Group Limited,25/06/2014,Software & Services
GTM,Greentech Minerals Ltd,,Semiconductors & Semiconductor Equipment
GTN,Gtn Limited,1/06/2016,Media & Entertainment
GTR,Gti Energy Ltd,10/08/2007,Materials
GUD,G.U.D. Holdings Limited,30/06/1962,Automobiles & Components
GUL,Gullewa Limited,19/06/1980,Materials
GVF,Global Value Fund Limited,21/07/2014,Not Applic
GW1,Greenwing Resources Ltd,20/10/2005,Materials
GWA,Gwa Group Limited.,20/05/1993,Capital Goods
GWR,Gwr Group Limited,24/12/2004,Materials
H2G,Greenhy2 Limited,4/12/1980,Commercial & Professional Services
HAL,Halo Technologies Holdings Ltd,26/04/2022,Diversified Financials
HAR,Haranga Resources Limited.,27/01/2022,Materials
HAS,Hastings Technology Metals Ltd,20/02/2008,Materials
HAV,Havilah Resources Limited,21/03/2002,Materials
HAW,Hawthorn Resources Limited,3/07/1986,Materials
HCD,Hydrocarbon Dynamics Limited,21/04/2006,Energy
HCF,H&G High Conviction Limited,25/10/2022,Not Applic
HCH,Hot Chili Limited,3/05/2010,Materials
HCT,Holista Colltech Limited,26/02/2004,Household & Personal Products
HCW,Healthco Healthcare And Wellness Reit,6/09/2021,Real Estate
HDN,Homeco Daily Needs Reit,23/11/2020,Real Estate
HE8,Helios Energy Ltd,20/10/2010,Energy
HFR,Highfield Resources Limited,7/02/2012,Materials
HFY,Hubify Limited,12/01/2017,Telecommunication Services
HGH,Heartland Group Holdings Limited,1/11/2018,Banks
HGL,Hudson Investment Group Limited,9/06/1994,Real Estate
HGO,Hillgrove Resources Limited,22/07/1994,Materials
HGV,Hygrovest Limited,22/01/2015,Not Applic
HHI,Health House International Limited,28/07/2011,Health Care Equipment & Services
HHR,Hartshead Resources Nl,14/02/2012,Energy
HIL,Hills Limited,30/06/1962,Technology Hardware & Equipment
HIO,Hawsons Iron Ltd,14/11/2007,Materials
HIQ,Hitiq Limited,16/06/2021,Health Care Equipment & Services
HIT,Hitech Group Australia Limited,17/04/2000,Commercial & Professional Services
HLA,Healthia Limited,11/09/2018,Health Care Equipment & Services
HLF,Halo Food Co. Limited,,
HLO,Helloworld Travel Limited,13/09/2000,Consumer Services
HLS,Healius Limited,3/07/1998,Health Care Equipment & Services
HLX,Helix Resources Limited,22/05/1986,Materials
HM1,Hearts And Minds Investments Limited,14/11/2018,Not Applic
HMC,Home Consortium Limited,14/10/2019,Real Estate
HMD,Heramed Limited,12/12/2018,Health Care Equipment & Services
HMG,Hamelin Gold Limited,5/11/2021,Materials
HMI,Hiremii Limited,11/05/2021,Commercial & Professional Services
HMX,Hammer Metals Limited,25/02/2003,Materials
HMY,Harmoney Corp Limited,19/11/2020,Diversified Financials
HNG,Hancock & Gore Ltd,24/08/1971,Capital Goods
HNR,Hannans Ltd,5/12/2003,Materials
HOR,Horseshoe Metals Limited,29/07/2010,Materials
HPC,The Hydration Pharmaceuticals Company Limited,14/12/2021,Household & Personal Products
HPG,Hipages Group Holdings Ltd,12/11/2020,Media & Entertainment
HPI,Hotel Property Investments,10/12/2013,Real Estate
HPP,Health And Plant Protein Group Limited,14/12/1989,"Food, Beverage & Tobacco"
HPR,High Peak Royalties Limited,30/03/2007,Energy
HRE,Heavy Rare Earths Limited,24/08/2022,Class Pend
HRN,Horizon Gold Limited,21/12/2016,Materials
HRO,Hiro Brands Limited,14/01/2016,Consumer Services
HRZ,Horizon Minerals Limited,6/02/1992,Materials
HSC,Hsc Technology Group Ltd,2/06/2006,Software & Services
HSN,Hansen Technologies Limited,1/06/2000,Software & Services
HT1,Ht&E Limited,7/05/1992,Media & Entertainment
HT8,Harris Technology Group Limited,24/06/1999,Retailing
HTA,Hutchison Telecommunications (Australia) Limited,17/08/1999,Telecommunication Services
HTG,Harvest Technology Group Ltd,12/05/2016,Technology Hardware & Equipment
