ASXCode,CompanyName,ListingDate,GICsIndustryGroup
AIB,Aurora Global Income Trust,24/12/2007,Not Applic
AII,Almonty Industries Inc.,2/08/2021,Materials
AIM,Ai-Media Technologies Limited,15/09/2020,Commercial & Professional Services
AIQ,Alternative Investment Trust,8/05/2005,Not Applic
AIS,Aeris Resources Limited,2/02/2011,Materials
AIV,Activex Limited,11/04/2006,Materials
AIZ,Air New Zealand Limited,1/10/1997,Transportation
AJJ,Asian American Medical Group Limited,19/03/2007,Health Care Equipment & Services
AJL,Aj Lucas Group Limited,10/08/1999,Capital Goods
AJQ,Armour Energy Limited,26/04/2012,Energy
AJX,Alexium International Group Limited,22/12/1999,Materials
AJY,Asaplus Resources Limited,16/11/2012,Materials
AKE,Allkem Limited,4/12/2007,Materials
AKG,Academies Australasia Group Limited,1/06/1977,Consumer Services
AKL,Auckland Real Estate Trust,23/09/2005,Real Estate
AKM,Aspire Mining Limited,6/02/2007,Materials
AKN,Auking Mining Limited,29/10/2007,Materials
AKO,Akora Resources Limited,15/12/2020,Materials
AKP,Audio Pixels Holdings Limited,24/12/2004,Consumer Durables & Apparel
AL3,Aml3D Limited,20/04/2020,Capital Goods
AL8,Alderan Resources Limited,9/06/2017,Materials
ALA,Arovella Therapeutics Limited,24/01/2002,"Pharmaceuticals, Biotechnology & Life Sciences"
ALB,Albion Resources Limited,30/04/2021,Materials
ALC,Alcidion Group Limited,24/06/2011,Health Care Equipment & Services
ALD,Ampol Limited,31/12/1980,Energy
ALG,Ardent Leisure Group Limited,30/11/2018,Consumer Services
ALI,Argo Global Listed Infrastructure Limited,3/07/2015,Not Applic
ALK,Alkane Resources Limited,7/10/1980,Materials
ALL,Aristocrat Leisure Limited,9/07/1996,Consumer Services
ALM,Alma Metals Limited,18/04/2007,Energy
ALO,Alloggio Group Limited,29/11/2021,Consumer Services
ALQ,Als Limited,18/07/1952,Commercial & Professional Services
ALT,Analytica Limited,25/10/2000,Health Care Equipment & Services
ALU,Altium Limited,4/08/1999,Software & Services
ALV,Alvo Minerals Limited,20/10/2021,Materials
ALX,Atlas Arteria,25/01/2010,Transportation
ALY,Alchemy Resources Limited,26/11/2007,Materials
AM7,Arcadia Minerals Limited,25/06/2021,Materials
AMA,Ama Group Limited,31/08/2006,Commercial & Professional Services
AMC,Amcor Plc,28/08/1969,Materials
AMD,Arrow Minerals Ltd,28/10/2005,Materials
AME,Alto Metals Limited,20/12/2012,Materials
